Oct 28,Oct 29,Oct 26,Oct 27
769.0,482.0,0.0,1125.0
242.0,605.0,0.0,197.0
630.0,454.0,0.0,608.0
805.0,47.0,336.0,956.0
1086.0,0.0,661.0,936.0
1120.0,0.0,781.0,1030.0
528.0,0.0,721.0,319.0
821.0,0.0,579.0,250.0
607.0,0.0,496.0,460.0
675.0,0.0,381.0,426.0
784.0,0.0,627.0,474.0
606.0,0.0,660.0,520.0
594.0,0.0,496.0,832.0
581.0,0.0,795.0,643.0
636.0,0.0,669.0,517.0
585.0,0.0,703.0,704.0
750.0,0.0,778.0,1078.0
704.0,0.0,771.0,924.0
1005.0,0.0,742.0,959.0
530.0,0.0,944.0,895.0
460.0,0.0,1039.0,812.0
570.0,0.0,855.0,1056.0
673.0,0.0,956.0,636.0
849.0,0.0,1175.0,616.0
